teks,label
"Ya Allah.. kenapa Indonesia punya presiden kayak gini.. emng di kira orang kampung tidak menanggung dampak dari melemahnya rupiah kah pak.. anda itu paham gak sich efek dari melemahnya rupiah.. 
Tolong presiden RI yg cuma pintar pidato..
tolong ini pahami pak dampak dari rupiah melemah..

Pelemahan rupiah disebut bisa memicu kenaikan harga berbagai kebutuhan, mulai dari minyak goreng, makanan-minuman kemasan, hingga barang elektronik. Ekonom menilai dampak tersebut terjadi karena banyak bahan baku industri di Indonesia masih bergantung pada impor.

JADI JANGAN CUMA PINTAR OMON OMON DI SETIAP PIDATONYA.. SEKARANG SEMUA BARANG NAIK TERUTAMA KEBUTUHAN SELURUH RAKYAT INDONESIA TERUTAMA YG DI KAMPUNG KAMPUNG YG TIDAK MEMPUNYAI GAJI TETAP.. 
CONTOH: HARGA MINYAK GORENG NAIK, GULA NAIK HINGGA TABUNG GAS JUGA NAIK..",negatif
yg brengsek kepala sppg sama kejaksaan,negatif
"Betul sekali pak Presiden 👍👍 mau dolar naik bagi rakyat Indonesia berapa pun gak gak perduli yg penting sandang pangan kita ada tersedia dan murah meriah ,justru komoditas ekspor kita  harganya harus disesuaikan harga pasaran dunia maka akan menambah cuan  buat gairah eksportir dan petani Indonesia. Justru komoditas Indonesia penyumbang terbesar kebutuhan penduduk dunia seperti: Kopi,Teh,kelapa, rempah rempah, kelapa sawit, apalagi sekarang beras kita sdh meningkat drastis. Semoga rakyat Indonesia Makmur Sejahtera 🙏🙏",positif
Serius nanya indo gak py utang luar negeri ya? santuy amat dolar naik....hadew,netral
"Lihat realita nya ke lapangan pak bukan berdasarkan data, karena data bisa dimanipulasi 😢,gini amat ya punya presiden 😮",negatif
harga sembako dll naik jenderal kpn stabil. jgn diem perintahkan menterinya,negatif
Cara bicaranya mulek kayak orang tak berpendidikan mendengarkan aja rasanya malu.,negatif
Percuma komen...iyain aja...,netral
"Semakin senang q pribadi melihat presidenku, yang masih bisa bercanda dlm pertemuan dan sidang,, jadi suasana tidak tegang melulu,, BRAVO PRA-GIB dan jajarannya 👍👍👍",positif
"Sekedar saran..tetap ikut tepuk tangan dan pura pura tersenyum,biar aman jabatan.",netral
OMON2 tak berilmu 😂😂😂😂,negatif
Susahnya punya pemimpin tolol ...bahaya tapi tidak faham,negatif
"Beginilah nasib rakyat Indonesia kalau punya Pemimpin Bodoh Dongo. Jeritan rakyat tak pernah di dengar, otak MBG.",negatif
WARAS PAK WOWO ......... ? MATAMU PICEK ........ NURUNIN KEMISKINAN YA PAK ....... ? MOBIL SOLAR YG DULUNYA PAKAI PERTAMINA DEX JATUH MISKIN ' YG MISKIN CUMZ BISA MAKAN TAEK OTAKMU WO,negatif
Susah pam press....banyak yg nggk percaya diri.,negatif
"Bukan masalah nggak pake dolarnya pak, tapi efek negatifnya saat nilai dolar semakin menguat, kenaikan harga harga barang yang dibeli masyarakat ikutan tambah mahal. Nggak perlu dipikirin kah?",negatif
"Pemimpin adalah cerminan rakyatnya, saya gak menyalahkan anda pak, saya intropeksi diri kenapa sampai Allah berikan pemiminpin seperti anda untuk bangsa yang besar dan kaya raya ini.",netral
Lanjutkan😎,netral
Kehilangan akal akan menjadi kehancuran mutlak !!!,netral
"Hallo 58, kalian masih senyum kan?",netral
Seseorang Memaklumkan rupiah yang jeblok,netral
"Nyesel pilih prabowo
Sumpah",negatif
Presiden kok gini..,netral
Yang pusing punya hutang dolar harus mikir lebih dalam.,netral
Repotnya Presiden hanya Jendral tok..beda dengan SBY Jendral ya intelektual,negatif
"bersykurlah gue orang desa yang lugu tapi tidak menipu🤪
karena gue sudah merantau ke kota dan menjadi pintar untuk membodohin 🤭",netral
"Gaya bicaranya TDK mencerminkan seorang presiden,Kya preman,Samsul beda lgi,btw,utk rakyat yg mana pak,",negatif
"dia sendiri ke luar negeri,  ya gak mikir biayai rakyat. 
maklumlah omon omon,  dolar naik yg lain juga ikut naik lah bos.",negatif
Desa gak pake dolar pak tapi dolar naik nilai rupiah turun dan harga2 sembako pada naik 😂😂,negatif
"Dolar tinggi tenaga kerja yg gajinya dolar bahagia banget,selama Indonesia nggak bayar hutang biarkan saja,orang yg beli barang ke Indonesia bayarnya dg dolar bahagia sekali dia dolarnya tinggi,kalau dolar 20 rb biarkan saja,kalau kita tidak import atau bayar utang,kita kaya raya😂",negatif
"Wah...sekelas presiden masak gak tau arti rupiah lemah. 
TIDAK PERCAYA OMONGAN PEJABAT",negatif
pemimpin dagelan 😢😢😢 dikira kedelai gak pake dolar x yah....,negatif
PRESIDEN GOBLOGGGGGGGGGGGGGGGGG,negatif
Presiden omon-omon 🤣🤣☝️,negatif
Banyak kali cerita kau prabowo,netral
Betul saya rakyat didesa  ngga pernah pake dolar .. asal perutaran ekonomi di indonesia terutama didesa lancar pangan sandang papan tercukupi  maka  ekonomi indonesia  baik baik saja. Yg menguras devisa dolar adalah orang orang kaya,positif
"inflasi akibat dolar naik, semua produk diindonesia pasti naik",negatif
nurunin harga plastik aja ga bisa apa lgi dolar,negatif
"Susah di pahami oleh masyarakat,",negatif
"Jujur lama-lama sy jijik dengar pidato dan lihat Prabowo ini. Sdh tua, bangkotan, mulai pikun. Bukan cari amal baik dgn keputusan-keputusan yg bijak dan menyejahterakan rakyat kecil, malah semakin sinting dan aneh"" aja. 
Pak Prabowo ingat mati pak. Jd tlong jgn terlalu menyakiti rakyat dgn keputusan dan pidato yg aneh-aneh. Buat apa kalian jd pejabat dan pemimpin klo hanya utk kepentingan diri sendiri dan kelompok kalian tertentu.  Klo gk bisa lebih baik mundur. Itu lebih terhormat. Mending jd pengusaha atau pebisnis aja. Gk usah kerja di pemerintahan.  Tai kalian semua. Mudahan kalian cepat dapat upah dari keputusan dan kebijakan yg menyakiti hati rakyat.",negatif
Mereka senyum karena takut di pecat si giant😅,netral
"Inflasi, uang kita gak ada harga.",negatif
Pidato ikempos tanpa isi. !!!,negatif
Perkataan macam apa ini,negatif
Hadeh rupiah anjlok kok ya masih ketawa aja,negatif
Hidup Jokowi hidupulyono,netral
"Perkiraan saya 2-3bulan kedepan akan sangat terasa dampaknya,hati2😊",netral
"Paling habis ceramah langsung ""Joget dulu aah""",netral
malah  pamer 2   keluar negeri  asli  mual  gua denger   nya    ... bukan   memikirkan  solusi    malah   tertawa   riang  di   atas penderitaan  rakyat  yg terhimpit   ekonomi,negatif
Rakyat sudah kehilangan impian untuk menjadi sejahtra karena di pimpin pemerintah yang tidak mengerti rakyat,negatif
"Satu kata tolol. Rupiah turun harga barang jadi mahal , presiden kok gk ngerti inflasi kali.",negatif
Presiden guyon....,negatif
presiden sy lht SDH banyak brusaha. lah klo rakyat ny miskin ya trgantung diri nyalah. perbaiki sholat ny . mgkin sholatnya dn brbuat baik ny kurang JD nasib ny kere and serret trs. klo sholat ny tepat waktu ga mgkin lah miskin,positif
Perasaan ku paling sering ke luarnegri yang ngomong😂,netral
ABS...salah benar tepuk tangan terus,netral
Nilai 11 dari 100,negatif
Dolar naik rupiah berarti turun. Efek domino nya banyak. Harga jadi mahal. Rupiah tidak ada harganya. Sekelas presiden ngomong nya beneran gini ?,negatif
"Kalo bodoh jangan terlalu, yang sering keluar negeri hidup nya nyaman kaya raya ,dia bukan orang kebanyakan,Wowo makin bodoh gak ada pembelaan sama rakyat,kalo dolar naik terus berarti harga ikut naik wo",negatif
"Tuker/ jual dollar Singapura dan dollar Amerika rame ... Rame. .
Aku yakin rupiah menguat",netral
Menkeu Purbaya gak becus kerja hanya cengengesan 😂,negatif
Itu dlm hati para menteri gimana ya? Ngomong seenak nya ini pak Prabowo. Ga ada bijak2 nya 😢,netral
Dagelan pemerintah sekarang apeees apeees sudah terlanjur pilih,negatif
Rakyat makin susah kerja udah gak sesuai ekspektasi,negatif
Kim Jong Un,netral
"Yang penting ikut tertawa biyar aman, Yes man",netral
"pejabat tersenyum, rakyat menangis .....siap2 98.",negatif
Presiden kok gini nalarnya. Capek dech🤕🤕🤕🤕🤕,negatif
masih aja cengengesan ...lihat phk dimana mana,negatif
Pak Purbaya ko tambah kurus pak... Sehat selalu bapak,positif
AAMIIN. YAA. ALLAH. KUATKANLAH. INDONESIA ❤,positif
Efeknya serba naik blok,negatif
"Pemimpin yg suka ke luar negeri siapa, ya. Ongkosnya pake dolar juga kah? Ironi pemimpin.",negatif
"Pak hemat anggaran dalam kondisi sulit. Hentikan MBG sementara waktu smpai kondisi ekonomi pulih....dalam kasus MBG byk kebocoran anggaran, seharusnya sistem dulu yg dibuat barulah menjalankan program, ini malah sebaliknya walhasil amburadul dan boros anggaran",negatif
Apa kabar BRICS 😂😂😂 mana mata uang BRICS+++  masuk organisasi ga kepakai dasar dunia bodoh 😂😂,negatif
Tersenyumlah kawan😂,netral
ta elu pak yg suka jalan² ke luar negeri kok pura² nanya siapa yg sukt keuar negri siapa 🥱,netral
"Otak dikebiri begini nih, suara saja yg digebergeber",negatif
Smakin banyak bicara smakin tidak baik baik saja,netral
"raja yang disangkar,penasihat dan.perdana mentri hanya mengabarkan yang baik baik saja tanpa mengiraukan jeritan rakyat,

yaaaaa tinggal nunggu pendekar aja",netral
"Jgn membodohi rakyat pedesaan Pak, rakyat desa tau dampak merosot nya nilai rupiah",negatif
Mulut tidak sesuai dgn otak,netral
Bagaimana dengan hutang RI?? apakah tidak ada pengaruhnya😢,negatif
Habis president ngibul  terbitlah si omon2. . kok bsa seorang president ga paham efek rupiah melemah,negatif
Kalau di sebuah perusahaan ini bisa jadi bumerang saat pimpinan terlalu mengandalkan bawahan.. begitu bawahannya lepas tangan (kabur) dijamin perusahaannya kolaps.,netral
"Bpk. *_Prabowo_* bisa senyum, pak *_Purbaya_*  yg pusing. Semoga pak _Purbaya Sehat selalu_ Amiin",positif
"Disenggol Israel kek mana nanti....kalau kuat tunjukkan,swasembada beras tapi harga beras makin tidak terjangkau...produksi minyak sawit besar,tapi mjnyak goreng makin naik...jadi apanya yg hebat..?",negatif
pertahankan paaaakk MBGeeee 👍👍👍🙄😭,positif
Makanya perlu pimpinan yang pintar dan ngak bodoh... Coba nanti USD tembus 18.000 maka keringat dinginlah,negatif
"kami memang tidak menggunkan dollar, tapi kami tetap merasakan dampaknya jika rupiah anjlok !!!
bahkan bapak masih bisa bercanda disaat situasi seperti ini. luar biasa pak.🎉",negatif
Mana tahu belajar ekonomi jg ga.......!!,netral
buset 😅,netral
Betapa tertekan nya pak purba ya ini mengahadapi iblis yg memakan uang rakyat,positif
Anggaran dihabiskan MBG,netral
"gaya bentak jendral ke kopral dilapangan masih dipake aj.kagak ada cerminan orang jawa ama sekali, kagak ada elegant2* dan santun2*nya ama yg lbh tua.toh omon2* doang...sungguh dah idola Rt 58 Rw 02 emang juara",netral
Bagaimana pak Prabowo Nasib  Petani  pupuk Naik Harga Petani  Seperti kopi Malah Turun  Menjerit  Para Petani,negatif
"Dipikir yg terimbas dollar itu cuma mereka2 yg suka keluyuran ke luar negri doang tapi gk mikir kalo banyak kebutuhan hidup rakyat jg barang2  itu masih banyak yg impor dari luar dan belinya harus pake dollar yg jika dikonversi ke rupiah  mengakibatkan barang2 dan kebutuhan hidup jadi ikut naik 
Tidakkah Presiden mendengar jeritan rakyat sampai gk habis pikir apakah sesempit itu cara berfikirnya?",negatif
rupiah lemah pemerintah OMON OMONnya santai aja tanpa ngasih solusi apapun sama rakyat jika inflasi telah tiba rakyat yang di Salahin,negatif
Para pejabat masih senyum trus...rakyat sudah morat marit ekonominya,negatif
Negara buat BERCANDA,negatif
Emas jadi cemas,netral
Stres rakyat punya pemimpin kek gini,negatif
Sema purbaya masih senyum MBG tetap jalan 😂😂😂,positif
*presiden RI paling koplak sepanjang sejarah 😂😂😂*,negatif
Siapa ini ...,netral
Insyaallah,netral
"Apa mungkin mereka punya dana cadangan? Kalo usaha cuma petani, peternak, dikampungku yang masih bisa enjoy.. laah ini uangku malah seret 💆",netral
Ya alloh negara mau kollaps masih cengengesan negara,negatif
"Pilihan 58% rakyat begini amat pemikirannya, bukannya beliau juga pengusaha yak masa gak ngerti kalo kenaikan nilai tukar dolar itu berpengaruh ke harga barang & jasa yg juga dipakai rakyat² di desa gak cuma yg jalan² keluar negeri.. Gusti gusti",negatif
"Begini lah kalo salah pilih, presiden yg cuma omon omon doang, cuma jadi boneka presiden sebelumnya",negatif
"Lelah dengar pidato bpk Prabowo. 
Pidatonya hanya omon2.
Tegas tapi bohong",negatif
Cocote.,netral
Nilai 11 kebesaran kayaknya pa Anis.,netral
"Makin rusak negara ini, miris sekali melihatnya, bukannya memperbaiki diri, malah membanggakan kebobrokan",negatif
"Katanya pas dilantik, perekonomian akan membaik, dengan sangat gampangnya, segampang menggelontorkan uang ke bank himbara. Nyatanya tidak segampang itu. Apabila dimanfaatkan produktif oleh petani, peternak dan UMKM benar bisa meningkatkan perekonomian, namun paling penting kepastian hukum yang tidak ada di Indonesia seperti China dan Vietnam ( mereka berhasil berkembang pesat ).",negatif
Rupiah anjlok di jogetan aja .🤔 Tunggu kompor meleduk...!,negatif
"Rakyat yg mana menjerit-jerit,
Bukankah rakyat yg menjerit paling keras di jamannya pak Mulyono,malah kalian diam saja, sekarang tidak ada, sekarang masa pembersihan seluruh Bajingan2 yg merugikan rakyat..
Rakyat tidak terpengaruh dgn Dollar, rakyat butuh sandang pangan,tidak butuh dgn Dollar.
Persetan dgn Dollar 😂😂😂😄😃😀",netral
Eee...bpk Prabowo yg sering ke LN kan😂,netral
Nanti 20 rb dia cengengesan karena terbukti gak becus kerja.,negatif
Moiga selalu di beri keemudahan,positif
rakyat mu menderita gara2 mbg harga pada mahal pak presiden indonesia kuat yg di atas yg di bawah susah pak,negatif
Hapus BGN,negatif
"Itu omongan cerminan plecidennya putus asa.
Gak tahu lagi harus berbuat apa......",negatif
Rupiah tersungkur tidak berguna karena presiden omon omon doang,negatif
"Bangke Giant masih bisa guyonan, padahal rakyat kecil sudah ancur2 an hidupnya",negatif
Yang sering keluar negeri nggak pusing lah lha wong dibayari negara 😂😂😂,netral
Gimana ceritanya kesejahteraan rakyat diukur dari senyumnya purbaya,negatif
Nasib punya presiden bodo,negatif
"KILAHATAN JELAS DIA BERPIDATO DENGAN JIWA STRESS....
MASIH TERUS BOHONGI RAKYAT 
DASAR TUKANG BOHONG",negatif
P..wowo...dolar naik..harga di kampung sembako naik..ekonomi rakyat kecil.sakit...p wowo...,negatif
"Menenangkan rakyat dengan pidato?

Tenangkan rakyat dengan kebijakan nyata dong",negatif
"Purbaya viral karena bener,nah elu wo,...",positif
Rp makin gemuk purbaya makin kurus,netral
"dipikir dollar gak ngaruh ke harga beras, harga makan harian 😂.
Jadi ini tujuan rakyat dibuat bodoh ya 🤔",negatif
"Menteri Ngapain pusing keuangan mau ke luar negeri,kan di bayari APBN.",netral
Indonesia gelap gelap gelap 😢😢😢,negatif
"Yang bingung yang suka ke luar negri, ayo siapa nih? hahahah",netral
Bangga dengan Pak Prabowo Presidenku... Memang Presiden harus bisa menenangkan dan meyakinkan rakyatnya,positif
Indonesia kuat...Rupiah mengalahkan Dollarr..,positif
Miris pjabat pada ktawa ktiwi......😢😢😢 ntar dollar 25.000 baru pada lari..,negatif
"para penjilat kakek npd,gak lucu tp pada ketawa",netral
Susah punya peminpin sudah pikun,negatif
Ngomong apa ini presiden tak berbobot,negatif
Senyum dan Mencoba tetap waras,positif
"presiden songong,kalau kuat mengapa barang barang mahal...",negatif
Kita tidak tau 5 bulan ke depan 🗿,netral
Pidatonya,netral
"Pak mmg km dikampung TDK pakai Dollar tp Pak sangat berpengaruh klo nilai tukar uang akan sangat berpengaruh utk jual beli harga mkn melonjak Semuanya ini karena kerakusan para KORUPToR,sekuat Apapun tak perekenomian akan ttp anjlok sbb utama para mafia 2 koruptor yg tamak d Rakus,koruptor kok adipelihara katanya BPK yg pertama Tama meringkus para pencuri uang negara mana janji  BPk  rakyat yg menanggung semuanya janji BPk muluk2 coba BPK Tegas klo terbukti mencuri jebloskan spy ada Efek Jera Hukum MATI di negara lain bisa knp dIKONOHA tak ajalan BPK memimpin Harus ategas,hy itu jalannya spy perekenomian normal klo tak akan begini begini aja itu pak itulah caranya spy negara kita ini maju BPK pun akan di dukung seluruh rakyat",negatif
Lapot pak Trans7 kalah lucu,netral
Indonesia merdeka Indonesia kuat rupiah jaya,positif
Lagi digenosida nih suku Maya modern sama rajanya yg penuh dendam .. 😀,netral
Sy juga gqk pake dolar ..sy jd ingat narasi yg sama pernah dicetuskan saat krisis'98 katanya fundamen ekonomi Ri kuat eh ternyata bodong Rp saat itu anjlok  dari 2.500 smp 16.000  lbh terpuruk dari negara tetangga,negatif
"yang pusing kita apa2 import dari luar, ga bisa produksi sendiri. harga pada naik.",negatif
Ngomong2 nya ngak jelas,negatif
Rakyat di buat mainan...,negatif
Cinta rupiah rakyat,positif
"INI LAH PELAWAK 2026.
SEMAKIN HARI SEMAKIN MENJADI.
INI LAH SIFAT ASLI NYA.
SEPERTI MENDENGAR BOCAH KEMARIN SORE YANG SEDANG BACA KOMIC.

COCOK SEKALI MENJADI PEMERAN KOMEDI.",negatif
Aamiin,netral
"Kuat apanya,, semua mahal,rakyat kbanyakn pengangguran,pmerintah nya santai"" aja.",negatif
Ya Allah 😣😣😣,netral
"Semua beban ditanggung purbaya, karena program2 konsumtif non produktif dipaksakan",positif
Full Dukung prabowo.❤❤👍👍👍,positif
"Anda anda gk pusing  coba rakyat menjerit apa apa serba mahal, dasar si kocak mau jadi apa negri ini di saat rakyat kesusahan anda masih bisa ketawa ketawa di mana hati nurani anda",negatif
"Pemikiran macam apa ini, dawg!",negatif
Cuma omon omon aja' kerja nya,negatif
Teles loe,netral
"membuat Kaya keluarga dan Kroni kroni, hancurkan musuh2 konoha dari dalam. salah konoha sendiri....buat slow biar ga kebaca Publik,",netral
2030 indonesia bubar,negatif
Yang sering keluar negeri malah yang ngomong sedih ga sadar.,netral
Apa lah cito nya niiih..😂,netral
Purbaya pura pura banyak gaya😂😂,netral
"Emang semua senyum tandap bahagia?
Tokoh kok bicaranya suka menganggap enteng permasalahan bangsa.",negatif
ya Allah ...ini presiden ?,netral
"EGP masa bodo dolar naik mau turun kagak ngaruh secara gue pake rupiah  , hutang gue rupiah , income gue rupiah 👍👍 😄😄",netral
Hidup pak prabowo,positif
"Ini presiden bisa ngomong pakai teks aja ga sih? Sering ngelantur ga jelas, malah menunjukkan bahwa presiden ga ngerti yang dialami kelas menengah ke bawah. Semua kunjungan ke kelas bawah cuma formalitas yang sudah ditutupi bawahan.",negatif
"yang masih impor terutama yang harus konversi dari rupiah ke dolar, makin kecekik tuh",negatif
Ngelolah uang negara kok enak men ngomonge,netral
Senyumnya pa purbaya wakili rakyat,positif
"waduhhhhh,.....giliran dibecandain, nanggepinya serius, marah........giliran masalah serius malah pada bercanda.....",negatif
Presiden nya ini omongan nya parah,negatif
"bosen pakk, khotbah doang mah 😂😂😂",negatif
Mang imfor ngak pake dollar.Bisanya cuma teriak teriak ngak jelas.Disekeliling nya cuma orang orang penjilat.Bekerja untuk rakyat.nyatanya rakyat selalu diperas.ngak pernah negara menyenangkan rakyat.,negatif
"Saya Purbaya tersenyum bibir nya tapi hati ku menjerit, setelah ia tahu seluk beluk perputaran uang APBN, hutang negara yang terus membengkak, deviden BUMN yang tau kemana, BUMN seenaknya kelola keuangan, uang pajak dan berbagai problematika di lingkaran keuangan Konoha. Semoga Purbaya kuat dan tidak jatuh di tengah jalan dan jika rezim berganti tidak di dakwa macam-macam 😊",positif
Punya presiden gini amat ya,negatif
Ahhhh ramutu,negatif
"Modal senyum .ekonomi Negara  aman.
Negara hebat mana bisa bilang begitu",positif
"Yang pusing yang sering keluar negri kan ngawur ya,yg sering ke luar negri artinya banyak duit pak,,
Yg pusing itu rakyatmu pak..😢😢",negatif
"Lha? 
USD kan BI yang atur 😂",netral
Memang rakyat kebanyakan ga kenal dollar. Tp barang2 yg dipake di Indonesia banyak yg belinya pake dollar. Dan barang2 itu banyak dipake rakyat. Tahu tempe makanan kebanyakan rakyat beli kedelainya pake dollar. Makin mahal dollar maka tahu tempe makin mahal.,negatif
Ekonomi Indonesia kuat...liat kebawah dong pak presiden seperti apa ..banyak yg menjerit...,negatif
Ah omon2 ga ada rakyat menjerit di desa2 tuh mon,negatif
ini knp pemerintah pada jadi pelawak ya 🤨😵‍💫🦭,negatif
Tinggal nunggu waktunya tiba...,netral
Presiden pilihan rakyat termul😂😂😂,netral
"Koar koar semuanya untuk rakyat , memang betul pak wowo semua bahan pokok pada mahal , cari kerja susah , pantesan banyak kriminal mereka bukan biasa tapi karena terpaksa..😅😢😅😅😅",negatif
Sekelas Presiden ngomong gt.,netral
Pernyataan Wowo menandakan ketidak pahaman seorang presiden .,negatif
"Semakin mengawatirkan presidenmu kawan,,,😂",negatif
"My name is Ibrahim M Elyas and i am from Saudi Arabia. I am a scientist (chemist) and I am a victim of heinous attacks orchestrated by the zionest Saudi crown prince MBS and his colluders including MBZ and Sisi. I was attacked with unknown energy devices and assassinated while staying in hotel called ibis cikini in Jakarta. In god's well, i recovered miraculously and even the medical team were shocked how I came back to life. My passport was stolen by a Palestinian who is registered in the UN as a refugee and I believe he is colluding with MBS.",netral
"Sebelumnya parah,sekarang lebih parah lagi...",negatif
Kirain Purbaya punya kuasa. Ternyata hanya juru bayar.,netral
"Mikirin dolar, rupiah. Yg pasti aja pak  pengangguran bnyk, bansos sulit. Jlnana rusak",negatif
Kok kayak lagi maen²... 😂😂😂,negatif
presiden sammnnmmpaaahhhhhh,negatif
Ini kumpul pejabat pejabat yg baik hati.Donasi lansung donk ke sini bank Aceh 04402200047033.,netral
Negara konyol...bukan fakta yg di bahas malah pamer pamer bisnis mentri...susah dikepalanya bukan negara tapi perut mereka sendiri bangsat,negatif
Dikepalanya.. selama pak pur masih senyum.. dan stlh pidato bisa jalan2 ke LN lagi.. Nggak ada SDIKITPUN mikir keadaan negara,negatif
iya pak iya aja males debat org nggak di dengerin juga mau berpendapat kaya apa.,negatif
Presiden Prabowo ky Donal trum pidato nya yg suka keluar negri ya kamu,netral
Pentingnya punya pemimpin tidak bodoh,positif
Presiden kok omonganya seperti itu sih kok tidak ada manfaatnya bagi rakyat presiden kok tidak punya nilai intelektualnya,negatif
"Alhamdulillah, semoga Indonesia baik 2 saja.",positif
Hadeuhhhh.....ini pidato apa ya...,netral
"Para ABS berbaju putih senyam senyum...kecut, dan bertepuk tangan!!!",netral
Yang pusing yang suka ke luar negeri...kau khan sering ke LN pake duit rakyat Wok...,negatif
"parah ini manusia sudah pikun parah,ini org pikun jadi pemimpin",negatif
Presiden Konoha kok bicaranya kasar,negatif
"Kalau dolar berjaya justru menguntungkanpara eksportir kita coba pikir dia dapat dolar dari luar  Dan untuk usahanya di dengan rupiyah 
Jadi jesimpulanta menguntungkan para eksportir  itu sendiri coba kalau rupiyah kuat sekali bisa nenyamai nikainya dengan dolar 
Mati kutu para eksportir",positif
Takut kalo ga senyum nanti dijadikan tumbal.,netral
"Purbaya tersenyum cengengesan , rakyat yg menangis",negatif
indikator lo ngaco wok..... hanya sekedar senyum purbaya.... ngga paham ekonomi babar blasssss !!!,negatif
"Dia gak pduli dgn rupiah yg anjlok,dan dia kliatan senang klo dolars naik,kareNA dia punya byk dolars di simpen dirumahnya..hahaha..aki..aki bgsd..😢😢😢negara lain pamerin tuh,rudal,otomotif robots....lahh ini pamerin jagung.  dan rkyat disuruh bangga😂😂😂..dri jamn blanda jagung mahudah ada bosss...ini contoh kemajuan ato kemunduran jaman sihhh..?🤔🤔🤔konyolita😂😂",negatif
awas wo....kejadian tahun 1998 nanti bisa kembali terjadi....,netral
capek ya punya presiden kayak gini 😅😅😅😅😅😅,negatif
Nggak nyambung,netral
Ya gmn gw belanja pakai rupiah bukan pakai dollar,netral
"🫣🫣🫣🫣🫣mampus lah punya pemimpin pikiran kyk gini.
Ada Masalah  NO di atasi.✅️
Santai aja. Lemparin ke anak buah, yg penting ada yg ngurus.",negatif
pret pret pret,netral
"Bolak balik gagal jadi presiden. 
Giliran jadi presiden malah gagal .. 
Bangsat..",negatif
"Menepuk air di dulang, terpercik muka sendiri",netral
Gue jadi trenggono sih kabur ya,netral
Baru lihat presiden terbodoh,negatif
Apa apa mulai naikk bosss kalian mah gak ngaruhhh kampreett... Ini presiden goblokkkkkk,negatif
WADUUUH... DULU MULYONO SENYUM TERUS... TAPI UTANG NUMPUK.... RAKYAT NANGGUNG UTANGNYA SEKARANG... 😅😅😅,negatif
Banyak penjilat..😂😂😂,negatif
"Bukan ada juga yg brengsex"" tp malah kebanyakan yg brengsex pak!!!!!",netral
Ndasmu,netral
RAKYAT MENJERIT KESUSAHAN SIBUK DENGAN MBG & KOPRASI MP.,negatif
jelas banget ABS nya,positif
Aduh,netral
Presiden kok bisa ngomong org desa ngak ngerti dolar???ngak bikin pusing pusing banget😂😂😂aneh banget,negatif
Tersableng di dunia kake inih,netral
"Iya pak harga kopi juga ikut kena imbasnya.
Ya allah kok begini amat ya",negatif
Sepertinya harus sering2 ke psikiater pak,netral
Pak bagaimana kalau rakyat sudah klepek klepek,netral
